instance_name,greedy_profit,sa_profit
n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_200,99959799,100001451
n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_300,100040294,99949156
n_1000_c_100000000_g_14_f_0.3_eps_0.01_s_100,99268576,99051396
n_1000_c_100000000_g_14_f_0.3_eps_0.01_s_200,99170079,99801132
n_1000_c_100000000_g_14_f_0.3_eps_0.01_s_300,99422347,99851233
n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_100,91321983,90015155
n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_200,93291109,99584168
n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_300,92745187,95497444
n_1000_c_100000000_g_14_f_0.3_eps_0_s_100,100005243,100000566
n_1000_c_100000000_g_14_f_0.3_eps_0_s_200,100025531,100002446
n_1000_c_100000000_g_14_f_0.3_eps_0_s_300,100038347,100000274
n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_100,100013257,100000373
n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_200,100024906,100001413
n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_300,100037443,99999577
n_1000_c_100000000_g_2_f_0.1_eps_0.0001_s_100,50014609,50014549
n_1000_c_100000000_g_2_f_0.1_eps_0.0001_s_200,50019718,50019632
n_1000_c_100000000_g_2_f_0.1_eps_0.0001_s_300,50026496,50026361
n_1000_c_100000000_g_2_f_0.1_eps_0.001_s_100,50105091,50105058
n_1000_c_100000000_g_2_f_0.1_eps_0.001_s_200,50109731,50109577
n_1000_c_100000000_g_2_f_0.1_eps_0.001_s_300,50115740,50115640
n_1000_c_100000000_g_2_f_0.1_eps_0.01_s_100,51005377,51005377
